BUNDLE:ORIGINAL,dc_title,dc_creator,dc_date_issued,dc_description_abstract,dc_identifier
10038199.pdf,Noble metal-based electrocatalyst and method of treating a noble metal-based electrocatalyst,"['Yang, Hong', 'Wu, Jianbo']",2018-07-31,A noble metal-based electrocatalyst comprises a bimetallic particle comprising a noble metal and a non-noble metal and having a polyhedral shape. The bimetallic particle comprises a surface-segregated composition where an atomic ratio of the noble metal to the non-noble metal is higher in a surface region and in a core region than in a sub-surface region between the surface and core regions. A method of treating a noble metal-based electrocatalyst comprises annealing a bimetallic particle comprising a noble metal and a non-noble metal and having a polyhedral shape at a temperature in the range of from about 100° C. to about 1100° C.,10038199
10046318.pdf,"Ligand components, associated reaction products, activated reaction products, hydrosilylation catalysts and hydrosilylation curable compositions including the ligand components, and associated methods for preparing same","['Chu, Wan-Yi', 'Gilbert-Wilson, Ryan J.', 'Rauchfuss, Thomas B.', 'Dash, Aswini K.']",2018-08-14,"A ligand component is formed according to formula (1):R12P—X—N═C(R2)—Y, wherein R1 is Ph or Cyc or a C1-C20 substituted or unsubstituted ailkyl group; each Ph is a substituted or unsubstituted phenyl group; each Cyc is a substituted or unsubstituted cycloalkyl group; X is an unsubstituted arylene or a C2-C3 substituted or unsubstituted alkylene; R2 is H, methyl or Ph; and Y N is pyridyl, 6-phenylpyridyl or 6-methylpyridyl; with the proviso that when X is a C2 substituted or unsubstituted alkylene and Y is pyridyl, R2 is methyl or Ph. A reaction product including the ligand component and a metal precursor is prepared by combining the ligand component with the metal precursor. An activated reaction product is formed by activating the reaction product as a hydrosilylation catalyst.",10046318
10046353.pdf,Microscale stamp with reversible adhesion for transfer printing,"['Eisenhaure, Jeffrey D.', 'Kim, Seok']",2018-08-14,A microscale stamp for transfer printing includes (a) a stamp body comprising a shape memory polymer having a glass transition temperature (Tg) and (b) one or more protruding structures attached to a surface of the stamp body. The shape memory polymer comprises a deformable state at temperatures above Tg and a rigid state at temperatures below Tg. The one or more protruding structures comprise a material which is different from the shape memory polymer and which has a Young's modulus greater than a storage modulus of the shape memory polymer.,10046353
10048345.pdf,Fractional order and entropy bio-markers for biological tissue in diffusion weighted magnetic resonance imaging,"['Magin, Richard L.', 'Ingo, Carson']",2018-08-14,"Disclosed herein is an example method and system for characterizing a biological structure in terms of bio-markers derived from diffusion weighted magnetic resonance imaging (DWI) data of biologic material. A first set of DWI data may be obtained using a fixed diffusion encoding gradient and a plurality of diffusion time resolutions, and a second set of DWI data may be obtained using a fixed diffusion time resolution and a plurality of diffusion encoding gradients. The first and second sets may be analytically fit with a fractional power-law diffusion model parameterized by fractional exponents each uniquely corresponding to one of a plurality of bio-markers of the biologic material. Fractional exponents may be determined from the analytical fitting of the first and second sets of DWI data, and an image of the biologic material may be generated and displayed.",10048345
10052066.pdf,Appendage mountable electronic devices conformable to surfaces,"['Rogers, John A.', 'Ying, Ming Hua', 'Bonifas, Andrew', 'Lu, Nanshu']",2018-08-21,"Disclosed are appendage mountable electronic systems and related methods for covering and conforming to an appendage surface. A flexible or stretchable substrate has an inner surface for receiving an appendage, including an appendage having a curved surface, and an opposed outer surface that is accessible to external surfaces. A stretchable or flexible electronic device is supported by the substrate inner and/or outer surface, depending on the application of interest. The electronic device in combination with the substrate provides a net bending stiffness to facilitate conformal contact between the inner surface and a surface of the appendage provided within the enclosure. In an aspect, the system is capable of surface flipping without adversely impacting electronic device functionality, such as electronic devices comprising arrays of sensors, actuators, or both sensors and actuators.",10052066
10061876.pdf,Bounded verification through discrepancy computations,"['Mitra, Sayan', 'Fan, Chuchu', 'Huang, Zhenqi']",2018-08-28,"A system and methods store initial states and unsafe states (e.g., safety requirements) of a non-linear model of a control system that interacts with a physical system. The system performs simulations of the non-linear model using a set of sampled initial states, to first generate trajectories (numerical approximations of actual behaviors) over bounded time. The system further determines, for respective pairs of neighboring trajectories: an over-approximation of reachable states as an upper bound of a distance between a pair of neighboring trajectories; a linear over-approximation of the reachable states as piece-wise linear segments over a plurality of time intervals; and whether the linear over-approximation overlaps in any of the piece-wise linear segments with the unsafe states, to verify the non-linear model of the control system is safe.",10061876
10062904.pdf,Scaffold-free 3D porous electrode and method of making a scaffold-free 3D porous electrode,"['Liu, Jinyun', 'Braun, Paul V.']",2018-08-28,"A scaffold-free 3D porous electrode comprises a network of interconnected pores, where each pore is surrounded by a multilayer film including a first layer of electrochemically active material, one or more monolayers of graphene on the first layer of electrochemically active material, and a second layer of electrochemically active material on the one or more monolayers of graphene. A method of making a scaffold-free 3D porous electrode includes depositing one or more monolayers of graphene onto a porous scaffold to form a graphene coating on the porous scaffold, and depositing a first layer of an electrochemically active material onto the graphene coating. The porous scaffold is removed to expose an underside of the graphene coating, and a second layer of the electrochemically active material is deposited onto the underside of the graphene coating, thereby forming the scaffold-free 3D porous electrode.",10062904
10064269.pdf,Stretchable and foldable electronic devices,"['Rogers, John A.', 'Huang, Yonggang', 'Kim, Dae Hyeong', 'Ko, Heung Cho', 'Ahn, Jong-Hyun', 'Stoykovich, Mark Petar', 'Choi, Won-mook', 'Song, Jizhou']",2018-08-28,"Disclosed herein are stretchable, foldable and optionally printable, processes for making devices and devices such as semiconductors, electronic circuits and components thereof that are capable of providing good performance when stretched, compressed, flexed or otherwise deformed. Strain isolation layers provide good strain isolation to functional device layers. Multilayer devices are constructed to position a neutral mechanical surface coincident or proximate to a functional layer having a material that is susceptible to strain-induced failure. Neutral mechanical surfaces are positioned by one or more layers having a property that is spatially inhomogeneous, such as by patterning any of the layers of the multilayer device.",10064269
10072028.pdf,Cross-coupling of unactivated secondary boronic acids,"['Wang, Pulin', 'Crouch, Ian', 'Burke, Martin D.']",2018-09-11,"Provided are methods for site- and stereo-retentive cross-couplings with unactivated secondary boronic acids, which methods are particularly useful in building block-based approach for small molecule synthesis. Also provided is a method of forming an air-stable chiral secondary boronic acid.",10072028
10072046.pdf,Non-naturally occurring porcine reproductive and respiratory syndrome virus (PRRSV) and methods of using,"['Vu, Hiep Xuan', 'Laegreid, William W.', 'Ma, Fangrui', 'Osorio, Fernando A.', 'Pattnaik, Asit K.']",2018-09-11,"A non-naturally occurring porcine reproductive and respiratory syndrome virus (PRRSV) is provided herein, and methods of making and using the non-naturally occurring PRRSV also are provided.",10072046
10073293.pdf,Optical microcavity for a high-contrast display,"['Cifci, Osman S.', 'Epstein, Eric S.', 'Chen, Hao', 'Braun, Paul V.', 'Nuzzo, Ralph G.', 'Xu, Lu']",2018-09-11,"An optical microcavity for a high-contrast display comprises an enclosed cavity having a front wall and a back wall, where the front wall comprises a pinhole opening for emission of light from the cavity and the back wall is configured to generate or transmit light into the cavity. An outer surface of the front wall absorbs some or substantially all optical wavelengths of externally incident light so as to appear black or colored. An inner surface of the front wall comprises a light reflectivity of greater than 90% to promote photon recycling within the cavity and light emission through the pinhole opening.",10073293
10081592.pdf,Complex and structurally diverse compounds,"['Hicklin, II, Robert W.', 'Flood, Jr., Timothy A.', 'Morrison, Karen E.', 'Hergenrother, Paul J.', 'Huigens, III, Robert W.']",2018-09-25,"The invention a novel, general, and facile strategy for the creation of small molecules with high structural and stereochemical complexity. Aspects of the methods include ring system distortion reactions that are systematically applied to rapidly convert readily available natural products to structurally complex compounds with diverse molecular architectures. Through evaluation of chemical properties including fraction of sp3 carbons, ClogP, and the number of stereogenic centers, these compounds are shown to be significantly more complex and diverse than those in standard screening collections. This approach is demonstrated with natural products (gibberellic acid, adrenosterone, and quinine) from three different structural classes, and methods are described for the application of this strategy to any suitable natural product.",10081592
10081715.pdf,"Branched interconnected microvascular network in polymers and composites using sacrificial polylactide films, sheets and plates","['White, Scott R.', 'Sottos, Nancy R.', 'Thakre, Piyush R.']",2018-09-25,"A microvascular system comprising a polymeric matrix and a planar structure, where the planar structure comprises a plurality of branched microfluidic channels in the matrix. At least a portion of the microfluidic channels are interconnected, and the interconnections between the channels are located in a plane defined by a longitudinal section of the planar structure.",10081715
10085977.pdf,Procaspase 3 activation by combination therapy,"['Hergenrother, Paul J.', 'Handley, Michael K.', 'Fan, Timothy M.', 'Roth, Howard S.', 'Botham, Rachel C.', 'Gilbert, Mark J.', 'Tarasow, Theodore M.']",2018-10-02,"The invention provides compositions and methods for the induction of cell death, for example, cancer cell death. Combinations of compounds and related methods of use are disclosed, including the use of compounds in therapy for the treatment of cancer and selective induction of apoptosis in cells. The disclosed drug combinations can have lower neurotoxicity effects than other compounds and combinations of compounds.",10085977
10085978.pdf,Procaspase combination therapy for glioblastoma,"['Riggins, Gregory J.', 'Hergenrother, Paul J.', 'Handley, Michael K.', 'Fan, Timothy M.', 'Botham, Rachel C.', 'Gilbert, Mark J.', 'Tarasow, Theodore M.', 'Joshi, Avadhut']",2018-10-02,"The invention provides compositions and methods for the induction of cell death, for example, cancer cell death. Combinations of compounds and related methods of use are disclosed, including the use of compounds in therapy for the treatment of cancer and selective induction of apoptosis in cells. The disclosed drug combinations can have lower neurotoxicity effects than other compounds and combinations of compounds.",10085978
10087206.pdf,Scalable synthesis of reduced toxicity derivative of amphotericin B,"['Burke, Martin D.', 'Uno, Brice E.', 'Rakshit, Souvik']",2018-10-02,"Disclosed is a simplified, readily scalable series of individual methods that collectively constitute a method for the synthesis of C2′epiAmB, an efficacious and reduced-toxicity derivative of amphotericin B (AmB), beginning from AmB. Also provided are various compounds corresponding to intermediates in accordance with the series of methods.",10087206
10088476.pdf,Volume response sensors having analyte controlled reversible crosslinking,"['Zhang, Chunjie', 'Braun, Paul V.', 'Cano, Gerald G.']",2018-10-02,"The invention relates to hydrogel and organogel sensors as well as their application to continuous analyte monitoring. The sensor can include a hydrogel or organogel matrix. Standard and inverse designed are provided. In one embodiment, the matrix can include a molecular recognition agent for an analyte (e.g., a glucose analyte), and a volume resetting agent that reversibly binds with the molecular recognition agent. Reversible crosslinks between the molecular recognition agent and volume resetting agent can change the volume of the matrix upon interacting with the analyte via a competitive binding process. In various embodiments, the invention provides a hydrogel-based glucose sensor and sensors for continuous glucose monitoring. The glucose sensor can be based on a glucose-responsive hydrogel with a volume linearly correlated with glucose concentrations, such as about 0.05-50 mM, under physiological conditions. The invention thus provides a blood glucose monitor suitable for use in clinical settings.",10088476
10098964.pdf,Inclusion complexes and methods for making the same,"['Donovan, Joseph D.', 'Lee, Young-Soo', 'Lee, Soo Yeun']",2018-10-16,"The invention provides novel formulations comprising a stable inclusion complex of tributyrin and a cyclodextrin. In one particular embodiment, the formulation comprises an oven dried inclusion complex of tributyrin and γ-cyclodextrin that is effective in minimizing or preventing the unpleasant taste and odor of tributyrin, thus making it suitable for oral administration and delivery to the digestive tract and intestines. The invention provides compositions of these inclusion complexes and methods of using them that are advantageous as food, medicinal and other products, where the negative sensory properties of tributyrin can be a liability.",10098964
10099965.pdf,Methods for forming carbon opal templates and their use in forming inverse opals,"['Yano, Kazuhisa', 'Braun, Paul V.', 'Goodman, Matthew Dave']",2018-10-16,"Carbon opals, a form of colloidal crystal, are composed of ordered two-dimensional or three-dimensional arrays of Monodispersed Starburst Carbon Spheres (MSCS). Methods for producing such carbon opals include oxidizing as-synthesized MSCS, for example by heating in air, to increase surface charge. Such oxidation is believed to decrease settling rates of a colloidal suspension, enabling formation of an ordered colloidal crystal. Inverse opals, composed of any of a wide variety of materials, and based on a carbon opal template, have a reciprocal structure to a carbon opal. Inverse opals are formed by methods including: forming a carbon opal as described, impregnating a desired material into pores in the carbon opal to produce a hybrid structure, and removing the carbon portion from the hybrid structure.",10099965
10103057.pdf,Use of an inhibitor molecule in chemical vapor deposition to afford deposition of copper on a metal substrate with no deposition on adjacent SIO2 substrate,"['Mohimi, Elham', 'Abelson, John R.', 'Girolami, Gregory S.', 'Babar, Shaista']",2018-10-16,"Provided herein are methods for selectively forming layers of metal films on one portion of a substrate while leaving adjacent portions of the substrate uncoated. The methods provide for selectively depositing metal films on a conductive surface, such as ruthenium oxide, disposed on or near an insulating portion of the substrate, such as a silicon dioxide (SiO2) surface. The invention provides methods to simultaneously contact the substrate surface with both the precursor gas and the inhibitor agent leading to the selective formation of metal nuclei on the conductive portion of the substrate. In the methods described, nuclei are selectively formed by a disproportionation reaction occurring on the conductive portion of the substrate but not on the insulating portion of the substrate.",10103057
10106824.pdf,Production of xylitol from a mixture of hemicellulosic sugars,"['Zhao, Huimin H', 'Woodyer, Ryan', 'Nair, Nikhil Unni', 'Racine, Michael']",2018-10-23,"Materials and methods are described to produce xylitol from a mixture of hemicellulosic sugars by several routes. Examples include either as a direct co-product of a biorefinery or ethanol facility, or as a stand-alone product produced from an agricultural or forestry biomass feedstock including using, e.g. ethanol waste streams.",10106824
10115599.pdf,Spectrally and temporally engineered processing using photoelectrochemistry,"['Wang, Kaiyuan', 'Edwards, Lonna', 'Koker, Terry', 'Yu, Xin', 'Goddard, Lynford L.', 'Edwards, Chris', 'Liu, Gang Logan']",2018-10-30,"Methods and apparatus for subtractively fabricating three-dimensional structures relative to a surface of a substrate and for additively depositing metal and dopant atoms onto the surface and for diffusing them into the bulk. A chemical solution is applied to the surface of the semiconductor substrate, and a spatial pattern of electron-hole pairs is generated by projecting a spatial pattern of illumination characterized by a specified intensity, wavelength and duration at each pixel of a plurality of pixels on the surface. An electrical potential is applied across the interface of the semiconductor and the solution with a specified temporal profile relative to the temporal profile of the spatial pattern of illumination. Such methods are applied to the fabrication of a photodetector integral with a parabolic reflector, cell size sorting chips, a three-dimensional photonic bandgap chip, a photonic integrated circuit, and an integrated photonic microfluidic circuit.",10115599
10119115.pdf,Methods and compositions for producing solvents,"['Stoddard, Steven F.', 'Blaschek, Hans P.', 'Shi, Zhen']",2018-11-06,"Described herein are methods, compositions and synthetic biology approaches for solvent production, including but not limited to butanol production. Described herein are recombinant bacteria and yeast strains which may be used in production of a solvent, including but not limited to butanol, from lignocellulosic and other plant-based feedstocks. Described herein are methods of producing solvents, including but not limited to butanol, using bacteria and yeast strains. Described herein are methods of producing organisms that display highly efficient butanol production.",10119115
10128880.pdf,Communicating through physical vibration,"['Choudhury, Romit Roy', 'Roy, Nirupam', 'Gowda, Mahanth K.']",2018-11-13,"A data receiver includes a vibration sensor to sample data from vibrations in an incoming signal at a predetermined sampling rate, and a microcontroller, coupled to the vibration sensor, to control the sampling rate through an inter-integrated circuit (I2C) protocol or the like. A memory card, coupled to the microcontroller, stores the data with a serial peripheral interface (SPI) protocol or the like.",10128880
10132609.pdf,Gradient light interference microscopy for 3D imaging of unlabeled specimens,"['Kandel, Mikhail Eugene', 'Nguyen, Tan Huu', 'Popescu, Gabriel']",2018-11-20,"A system and methods for quantitative optical phase imaging of a sample. First second replica field of an image field are generated, characterized by a respective optical phase, cross-polarized and shifted in a shift direction transverse to a normal to the surface of the sample. The replica fields are Fourier transformed, the second replica field is retarded by four successive phase shifts, and, after inverse Fourier transforming, the first and second replica fields pass through an analyzer polarizer and superposing the first and second replica fields on a detector array to create four successive detector signals. The four successive detector signals are solved to derive a gradient of the optical phase of the image field, which may be integrated to obtain a quantitative phase image.",10132609
10134599.pdf,Self-anchored catalyst metal-assisted chemical etching,"['Kim, Jeong Dong', 'Kong, Lingyu', 'Li, Xiuling', 'Kim, Mun-Ho']",2018-11-20,"A method of metal-assisted chemical etching comprises forming an array of discrete metal features on a surface of a semiconductor structure, where each discrete metal feature comprises a porous metal body with a plurality of pores extending therethrough and terminating at the surface of the semiconductor structure. The semiconductor structure is exposed to an etchant, and the discrete metal features sink into the semiconductor structure as metal-covered surface regions are etched. Simultaneously, uncovered surface regions are extruded through the pores to form anchoring structures for the discrete metal features. The anchoring structures inhibit detouring or delamination of the discrete metal features during etching. During continued exposure to the etchant, the anchoring structures are gradually removed, leaving an array of holes in the semiconductor structure.",10134599
10137306.pdf,"Materials, devices and systems for piezoelectric energy harvesting and storage","['Dagdeviren, Canan', 'Slepian, Marvin J.', 'Rogers, John A.']",2018-11-27,"Materials and systems that enable high efficiency conversion of mechanical stress to electrical energy and methods of use thereof are described herein. The materials and systems are preferably used to provide power to medical devices implanted inside or used outside of a patient's body. For medical devices, the materials and systems convert electrical energy from the natural contractile and relaxation motion of a portion of a patient's body, such as the heart, lung and diaphragm, or via motion of body materials or fluids such as air, blood, urine, or stool. The materials and systems are capable of being bent, folded or otherwise stressed without fracturing and include piezoelectric materials on a flexible substrate. The materials and systems are preferably fashioned to be generally conformal with intimate apposition to complex surface topographies.",10137306
10139389.pdf,Fluorescence detection of mechanical damage,"['Li, Wenle', 'Matthews, Christopher Coleman', 'Robb, Maxwell J.', 'Moore, Jeffrey S.', 'White, Scott R.', 'Sottos, Nancy R.']",2018-11-27,"An autonomic self-indicating material is provided, the material comprising a polymer composition or a composite material embedded with a microcapsule or a vascular structure comprising an aggregation-induced emission (AIE) luminogen. Upon mechanical damage to the material, the luminogen is released and aggregates, leading to fluorescence.",10139389
10143086.pdf,Transient electronic devices comprising inorganic or hybrid inorganic and organic substrates and encapsulates,"['Rogers, John A.', 'Cheng, Jianjun', 'Zhang, Yanfeng', 'Kang, Seung-Kyun', 'Hwang, SukWon', 'Ying, Hanze']",2018-11-27,"The invention provides transient devices, including active and passive devices that physically, chemically and/or electrically transform upon application of at least one internal and/or external stimulus. Incorporation of degradable device components, degradable substrates and/or degradable encapsulating materials each having a programmable, controllable and/or selectable degradation rate provides a means of transforming the device. In some embodiments, for example, transient devices of the invention combine degradable high performance single crystalline inorganic materials with selectively removable substrates and/or encapsulants.",10143086
10154592.pdf,"Materials, electronic systems and modes for active and passive transience","['Yin, Lan', 'Leal, Cecilia', 'Rogers, John A.', 'Huang, Xian', 'Lee, Chi-Hwan', 'Harburg, Daniel Vincent']",2018-12-11,"The invention provides transient devices, including active and passive devices that electrically and/or physically transform upon application of at least one internal and/or external stimulus. Materials, modeling tools, manufacturing approaches, device designs and system level embodiments of transient electronics are provided.",10154592
10156560.pdf,Locomotive biological machines,"['Raman, Ritu', 'Cvetkovic, Caroline', 'Bashir, Rashid', 'Chan, Vincent']",2018-12-18,"The invention provides locomotive biological machines comprised of hydrogel structures and one or more types of cells. The locomotive biological machines are capable of controlled directional movement and can be used for sensing, information processing, actuation, protein expression, and transportation.",10156560
10161062.pdf,Composition comprising an engineered defect concentration,"['Gorai, Prashun', 'Seebauer, Edmund G.']",2018-12-25,"A composition comprising an engineered defect concentration comprises a metal oxide single crystal having a polar surface and a bulk concentration of interstitial oxygen (Oi) of at least about 1014 atoms/cm3. The polar surface comprises a concentration of impurity species of about 5% or less of a monolayer. A method of engineering a defect concentration in a single crystal comprises exposing a metal oxide single crystal having a polar surface to molecular oxygen at a temperature of about 850° C. or less, and injecting atomic oxygen into the single crystal at an effective diffusion rate Deff of at least about 10−16 cm2/s.",10161062
10166229.pdf,Compounds and methods for the treatment of cancer,"['Hergenrother, Paul J.', 'Putt, Karson S.', 'Peterson, Quinn P.', 'Fako, Valerie']",2019-01-01,"Compositions and methods are disclosed in embodiments relating to induction of cell death such as in cancer cells. Compounds and related methods for synthesis and use thereof, including the use of compounds in therapy for the treatment of cancer and selective induction of apoptosis in cells are disclosed. Compounds are disclosed in connection with modification of procaspases such as procaspase-3. In embodiments, compositions are capable of activation of procaspase-3.",10166229
10167556.pdf,Apparatus and method for depositing a coating on a substrate at atmospheric pressure,"['Wu, Yuilun', 'Shchelkanov, Ivan A.', 'Hong, Jungmi', 'Ouyang, Zihao', 'Ruzic, David N.', 'Cho, Tae Seung']",2019-01-01,"An apparatus for depositing a coating on a substrate at atmospheric pressure comprises (a) a plasma torch comprising a microwave source coupled to an antenna disposed within a chamber having an open end, the chamber comprising a gas inlet for flow of a gas over the antenna to generate a plasma jet; (b) a substrate positioned outside the open end of the chamber a predetermined distance away from a tip of the antenna; and (c) a target material to be coated on the substrate disposed at the tip of the antenna.",10167556
10168221.pdf,"Uncooled, high sensitivity spectral selective infrared detector","['Wasserman, Daniel M.', 'Gong, Songbin']",2019-01-01,"An infrared (IR) detector comprises a radio frequency (RF) resonator including a bottom electrode to provide acoustic excitation, a piezoelectric layer connected to the bottom electrode and suspended over a cavity defined within a semiconductor substrate, and a top layer comprising a mid-IR metamaterial and which is connected to the piezoelectric layer of the RF resonator. The top layer and the piezoelectric layer are sized to impedance match with a particular IR wavelength, to minimize reflection and maximize absorption of a particular IR wavelength, and thus make the top layer polarization sensitive to the particular IR wavelength.",10168221
10174221.pdf,Autonomic damage indication in coatings,"['Li, Wenle', 'Matthews, Christopher Coleman', 'White, Scott R.', 'Sottos, Nancy R.']",2019-01-08,"Autonomous detection of damage in a polymer coating is described by utilizing microcapsules in a polymer coating having free and/or residual amines. The microcapsules contain a color indicator, such as 2′,7′-dichlorofluorescein (DCF), bromophenol blue (BPB) or fluorescamine, which is reactive with the free and/or residual amines present in the polymer coating. For coatings without the presence of free and/or residual amines, a color indicator microcapsule can be combined with a second type of microcapsule filled with a base. When sufficient damage is inflicted to the coating, the microcapsules in and/or around an area of the damage will rupture, and the color indicator will react with the free and/or residual amines or the base to autonomically indicate the area in which the coating has been damaged.",10174221
10175195.pdf,Nanopore sensors for biomolecular characterization,"['Bashir, Rashid', 'Venkatesan, Bala Murali']",2019-01-08,"Provided herein are methods and devices for characterizing a biomolecule parameter by a nanopore-containing membrane, and also methods for making devices that can be used in the methods and devices provided herein. The nanopore membrane is a multilayer stack of conducting layers and dielectric layers, wherein an embedded conducting layer or conducting layer gates provides well-controlled and measurable electric fields in and around the nanopore through which the biomolecule translocates. In an aspect, the conducting layer is graphene.",10175195
10192830.pdf,Self-similar and fractal design for stretchable electronics,"['Rogers, John A.', 'Huang, Yonggang', 'Fan, Jonathan', 'Yeo, Woon-Hong', 'Su, Yewang', 'Zhang, Yihui']",2019-01-29,"The present invention provides electronic circuits, devices and device components including one or more stretchable components, such as stretchable electrical interconnects, electrodes and/or semiconductor components. Stretchability of some of the present systems is achieved via a materials level integration of stretchable metallic or semiconducting structures with soft, elastomeric materials in a configuration allowing for elastic deformations to occur in a repeatable and well-defined way. The stretchable device geometries and hard-soft materials integration approaches of the invention provide a combination of advance electronic function and compliant mechanics supporting a broad range of device applications including sensing, actuation, power storage and communications.",10192830
